Category,Check,Severity,Platform,Status,Notes,Fix_Instructions
Google Merchant Specific,MPN is present when GTIN is unavailable,Medium,Google,"","","When GTIN is not available, Google requires MPN + Brand. Use the manufacturer's part number, not your internal SKU. This helps Google match your product to its catalog."
Google Merchant Specific,Google product category (google_product_category) is mapped,High,Google,"","","Use Google's taxonomy (at least 2-3 levels deep). Example: 'Apparel & Accessories > Clothing > Dresses'. Generic top-level categories reduce ad relevance and can affect tax calculation."
Google Merchant Specific,Product type is set with full breadcrumb path,Medium,Google,"","","Product type is your own categorization (not Google's taxonomy). Use full breadcrumbs: 'Home > Furniture > Living Room > Sofas'. This improves campaign structure and bidding control."
Google Merchant Specific,Custom labels (0-4) are utilized for campaign segmentation,Low,Google,"","","Custom labels let you segment products in Shopping campaigns by margin, season, best-seller status, etc. Example: custom_label_0=high-margin, custom_label_1=summer-2024."
Google Merchant Specific,Shipping weight and dimensions are present,Medium,Google,"","","Required for carrier-calculated shipping. Missing weight/dimensions may cause shipping estimate errors or disapprovals if your Merchant Center shipping is set to carrier-calculated rates."
Google Merchant Specific,Tax settings are correctly configured (US feeds),Medium,Google,"","","For US feeds, tax can be set in Merchant Center account settings or in the feed. Account-level settings are recommended. If using feed-level tax, ensure rate and tax_ship values are correct per state."
Google Merchant Specific,Sale price and sale_price_effective_date are formatted correctly,Medium,Google,"","","Sale price must be lower than regular price. Effective date format must be: 2024-01-15T00:00:00-05:00/2024-01-31T23:59:59-05:00. Expired sale dates cause mismatched pricing disapprovals."
Google Merchant Specific,Automatic item updates are enabled in Merchant Center,Medium,Google,"","","Enable this in Merchant Center > Settings. Google will crawl your site and auto-fix minor price/availability mismatches. This is a safety net, not a substitute for accurate feed data."
Google Merchant Specific,Free listings are opted in,Low,Google,"","","In Merchant Center, opt in to 'surfaces across Google' for free organic product listings. This gives you additional visibility at no cost. Requires the same data quality as paid Shopping."
Google Merchant Specific,Products are not disapproved in Merchant Center,Critical,Google,"","","Log into Google Merchant Center > Diagnostics. Export the disapproved items list. Cross-reference with your feed to fix each disapproval reason. Common causes: mismatched price, missing GTIN, policy violation."
Google Merchant Specific,Feed fetching schedule is configured and working,High,Google,"","","In Merchant Center > Feeds, verify your feed fetch schedule. Ensure last fetch was successful and recent. A failed fetch means Google is serving stale data. Set up fetch alerts."
Image Quality,Primary image is at least 100x100 pixels (non-apparel) or 250x250 pixels (apparel),High,All,"","","Google requires minimum 100x100 for non-apparel and 250x250 for apparel. Meta recommends 500x500 minimum. Use at least 800x800 for best results across all platforms."
Image Quality,Images are not placeholder or stock 'no image available' graphics,High,All,"","","Placeholder images get disapproved or drastically reduce CTR. Search your image URLs for patterns like 'placeholder', 'no-image', 'coming-soon'. Replace with actual product photos."
Image Quality,Images do not contain watermarks or promotional overlays,High,Google,"","","Google disapproves images with watermarks, sale badges, 'free shipping' text, or brand logos overlaid on the product image. Use clean product photography only."
Image Quality,Images show the correct product (not a different variant),Medium,All,"","","Verify that each variant's image link points to the correct color/size/style. Incorrect images cause returns and poor customer experience. Spot-check 10-20 variants manually."
Image Quality,Image URLs use HTTPS,High,All,"","","All image URLs should use HTTPS. HTTP image links may be blocked by browsers or cause mixed-content warnings. Update your CDN configuration or image URL generation to use HTTPS."
Image Quality,Image URLs return HTTP 200 (no broken links),Critical,All,"","","Spot-check or bulk-validate image URLs. Use a tool or script to check for 404, 403, 500, or timeout responses. Broken images = disapproved products. Check for CDN or hosting issues."
Image Quality,Additional image links (additional_image_link) are provided,Low,Google,"","","Google supports up to 10 additional images. More images improve ad quality and enable 'view more' in Shopping results. Map your product gallery images to this field."
Image Quality,Images are not excessively compressed or blurry,Medium,All,"","","Low-quality images reduce click-through rate dramatically. Check that JPEG quality is at least 80%. If images look pixelated or have visible compression artifacts, replace with higher quality versions."
Pricing,Price matches the landing page price exactly,Critical,Google,"","","Google crawls your site and compares the feed price to the landing page price. Any mismatch causes disapproval. Check for rounding differences, tax-inclusive vs exclusive pricing, and currency conversion issues."
Pricing,Price includes correct value (no off-by-one-cent errors),Medium,All,"","","Floating-point rounding can cause 19.99 to become 19.989999 or 20.00 in your feed. Verify price formatting uses exactly 2 decimal places. Check your export logic for rounding issues."
Pricing,Sale price is lower than regular price,High,Google,"","","If sale_price equals or exceeds price, Google ignores the sale price or may disapprove the item. Verify your sales logic and check for products where the sale has ended but sale_price was not removed."
Pricing,Multi-currency pricing is correct for each target country,High,Google,"","","If running feeds for multiple countries, verify each country feed has prices in the correct local currency. A USD price in a EUR feed will cause disapprovals or incorrect pricing."
Pricing,No products with suspiciously high or low prices,Medium,All,"","","Run a price distribution check. Flag products priced at $0.01 (potential errors), over $99999 (data issues), or orders of magnitude different from similar products. These often indicate import/mapping errors."
Pricing,Price unit pricing (unit_pricing_measure) is set for applicable products,Low,Google,"","","Required for products sold by measure (e.g., price per 100ml, per kg). Check if your product category requires this in Google's feed specification. Common for food, beverages, and cleaning products."
Availability,In-stock products are actually purchasable on the website,Critical,All,"","","If your feed says 'in_stock' but the add-to-cart button is disabled or the product page says 'unavailable', you will get mismatched data disapprovals. Audit 20+ products manually to verify."
Availability,Out-of-stock products are not submitted (or correctly marked),High,All,"","","Decide your strategy: either exclude out-of-stock products from the feed entirely, or include them with availability set to 'out_of_stock'. Submitting out-of-stock as in_stock causes disapprovals."
Availability,Preorder and backorder dates are within reasonable range,Medium,Google,"","","If using preorder availability, the availability_date must be in the future and within a reasonable timeframe. Extremely distant dates may be flagged. Update or remove expired preorder dates."
Availability,Inventory sync frequency matches business needs,High,All,"","","If you sell fast-moving products, once-daily feed updates may not be enough. Consider supplemental feeds or Content API for real-time availability updates. Check how many oversells you get per week."
Availability,Variant-level availability is correctly reported,High,All,"","","If size Small is sold out but Medium is in stock, each variant should have its own availability. Submitting parent-level availability that says 'in_stock' when most variants are sold out is inaccurate."
Categories,Google product category uses the most specific level available,High,Google,"","","Do not use top-level categories like 'Apparel & Accessories'. Go at least 3 levels deep: 'Apparel & Accessories > Clothing > Dresses'. More specific = better ad targeting and tax accuracy."
Categories,Product type breadcrumbs are consistent across the catalog,Medium,All,"","","Inconsistent product types (e.g., 'Shoes > Running' vs 'Running Shoes' vs 'Footwear > Running Shoes') fragment your campaign structure. Standardize the hierarchy and apply uniformly."
Categories,Category mapping covers all products (no unmapped items),High,All,"","","Export your feed and check for blank google_product_category or product_type fields. Unmapped products may default to a generic category, hurting ad relevance and potentially causing tax errors."
Categories,Category IDs match current Google taxonomy version,Medium,Google,"","","Google updates its taxonomy periodically. If you use numeric category IDs, verify they are from the current taxonomy version. Deprecated IDs may cause warnings or incorrect mappings."
Categories,Age group and gender are set for apparel products,High,Google,"","","Required for all apparel and accessories on Google. Values: age_group (newborn, infant, toddler, kids, adult), gender (male, female, unisex). Missing values cause disapprovals for apparel."
Categories,Size and color attributes are present for apparel products,High,Google,"","","Required for apparel in most countries. Each variant should have its specific size and color. Generic values like 'various' or 'multiple' are not accepted. Map from your variant options."
Categories,Material attribute is provided where applicable,Low,Google,"","","Recommended for apparel (e.g., cotton, polyester, leather). Improves product matching and filtering in Shopping results. Map from product tags or metafields if available."
Shipping,Shipping configuration matches website rates,High,Google,"","","Verify that the shipping rates in your Merchant Center or feed match what customers actually pay at checkout. Overcharging causes distrust; undercharging causes disapprovals for mismatched data."
Shipping,Shipping weight is accurate for carrier-calculated rates,Medium,Google,"","","If using carrier-calculated shipping, incorrect weights lead to wrong shipping estimates. Audit a sample of products to verify weights are accurate. Check units (lb vs kg, oz vs g)."
Shipping,Free shipping threshold is correctly reflected,Medium,Google,"","","If you offer free shipping over $50, ensure your Merchant Center shipping settings include this rule. Products over the threshold should show free shipping in Shopping ads."
Shipping,Shipping country targets match feed targets,Medium,Google,"","","If your feed targets the US, your shipping must include US rates. Missing shipping for your target country causes disapprovals. Verify in Merchant Center > Shipping settings."
Shipping,Handling time is set and accurate,Low,Google,"","","If you have handling time configured, ensure it reflects actual fulfillment speed. 0-1 days is standard for in-stock items. Longer handling times reduce competitiveness in Shopping results."
Feed Freshness,Feed was last fetched/uploaded within 24 hours,High,All,"","","Check your feed management platform or Merchant Center for the last successful fetch time. Feeds older than 24 hours risk serving stale prices and availability."
Feed Freshness,Scheduled fetches are running without errors,Critical,All,"","","Log into your feed management platform and check for fetch failures. Common causes: changed file URL, authentication expired, server timeout, file format errors. Set up error alerts."
Feed Freshness,Product count has not dropped significantly since last update,Critical,All,"","","A sudden drop in product count (e.g., 5000 to 500) usually indicates a feed generation error. Monitor product count over time. Set up alerts for drops greater than 10%."
Feed Freshness,New products appear in feed within expected timeframe,Medium,All,"","","Add a test product and verify it appears in the feed within your expected SLA (e.g., 4 hours). If new products take days to appear, check your feed generation trigger and cache settings."
Feed Freshness,Deleted/discontinued products are removed from feed,Medium,All,"","","Products removed from your store should not linger in the feed. Verify that archived, deleted, or discontinued products are excluded from feed generation. Stale products cause 404 landing pages."
Feed Freshness,Price and availability changes propagate within 1-4 hours,High,All,"","","For price changes and stock updates, measure the lag between website change and feed update. If lag exceeds 4 hours, consider using supplemental feeds or the Content API for critical fields."
Shopify Specific,Published status aligns with feed inclusion,High,Shopify,"","","In Shopify, only products with status 'active' and published to the Sales Channel should appear in the feed. Check for draft products or products hidden from the Online Store channel leaking into the feed."
Shopify Specific,Variant-level data is correctly exported (not just parent),High,Shopify,"","","Shopify products can have up to 100 variants. Ensure your feed exports each variant as a separate line item with the correct variant-specific price, image, availability, and option values."
Shopify Specific,Metafields used for feed enrichment are populated,Medium,Shopify,"","","If you use metafields for GTIN, MPN, google_product_category, or other feed attributes, verify they are populated across your catalog. Export metafields and check for blank values."
Shopify Specific,Collection-based category mapping is complete,Medium,Shopify,"","","If your feed tool maps Shopify collections to Google product categories, verify every product belongs to at least one mapped collection. Uncollected products may have missing categories."
Shopify Specific,Multi-variant images are correctly mapped per variant,Medium,Shopify,"","","Shopify allows assigning images to specific variants. Verify your feed maps the variant-specific image, not just the first product image. This is especially important for color variants."
Shopify Specific,Shopify Plus scripts do not alter checkout pricing,Medium,Shopify,"","","If using Shopify Scripts (Plus only) to modify pricing at checkout, ensure the feed price reflects the actual charge. Script-based discounts not reflected in the feed cause mismatched data."
WooCommerce Specific,Feed plugin is correctly configured and running,High,WooCommerce,"","","Check your feed plugin (e.g., WooCommerce Product Feed, YITH, etc.) for errors. Verify the feed URL is accessible and returns valid XML/CSV. Check WordPress cron is running for scheduled generation."
WooCommerce Specific,Variable products export all variations,High,WooCommerce,"","","WooCommerce variable products must export each variation as a separate feed item. Verify your feed plugin is set to 'include variations' mode. Parent-only export loses variant-specific data."
WooCommerce Specific,Custom fields and ACF data map to feed attributes,Medium,WooCommerce,"","","If you store GTIN, brand, or other attributes in custom fields or Advanced Custom Fields, verify your feed plugin maps them correctly. Test with a product that has all custom fields populated."
WooCommerce Specific,Stock management is enabled and syncing,High,WooCommerce,"","","WooCommerce > Settings > Products > Inventory: ensure 'Manage stock' is enabled. Without stock management, availability in your feed may not reflect actual inventory levels."
WooCommerce Specific,WordPress cron is reliable (or replaced with server cron),Medium,WooCommerce,"","","WordPress cron depends on site traffic. Low-traffic sites may have delayed feed generation. Replace with a real server cron job: add define('DISABLE_WP_CRON', true) to wp-config.php and set up a system crontab."
Meta Catalog Specific,Content ID matches your pixel/CAPI product IDs,Critical,Meta,"","","The content_id in your Meta catalog must exactly match the content_ids in your Pixel and Conversions API events. Mismatches break dynamic remarketing. Verify ID format (SKU vs numeric ID vs variant ID)."
Meta Catalog Specific,Product URL includes UTM parameters for Meta attribution,Medium,Meta,"","","Append utm_source=facebook&utm_medium=paid to product URLs in your Meta catalog feed. This ensures Meta ad clicks are correctly attributed in Google Analytics."
Meta Catalog Specific,"All required Meta fields are present (id / title / description / availability / condition / price / link / image_link / brand)",High,Meta,"","","Meta requires these fields for all catalog items. Export your catalog and check for any blank values in these required columns. Missing fields prevent products from being used in ads."
Meta Catalog Specific,Product sets are correctly segmented,Medium,Meta,"","","In Meta Commerce Manager, verify your product sets include the right products. Check filter rules for accuracy. Incorrect product sets mean your dynamic ads show wrong products."
Meta Catalog Specific,"Rich catalog fields are populated (material / pattern / size / gender / age_group)",Low,Meta,"","","These optional fields improve Meta's ad matching and enable more filter options in dynamic ads. Populate as many rich attributes as possible from your product data."
